states,"Population estimates, July 1, 2019,  (V2019)",Persons under 18 years (%),Persons 65 years and over (%),Black or African American (%),Asian (%),Hispanic or Latino (%),"White, not Hispanic or Latino (%)",Foreign born persons (%),Owner-occupied housing unit rate,Median value of owner-occupied housing units,Median gross rent,Households with a computer (%),Households with Internet (%),Bachelor's degree or higher (%),Persons without health insurance (%),"Total health care revenue, 2012 ($1,000)",Per capita income in past 12 months (in 2018 dollars),Persons in poverty (%),Real GDP in billion USD (2012),Vaccination Rate,Obesity Rate,Number of Smoking Adults,Party Affiliation,Number of Nursing Homes,Diabetes Rate 2018,Cancer Case Count,Hospital beds per 1000,Cumulative COVID cases (current),SoDA Score
New Jersey,8882190,0.219,0.161,0.15,0.1,0.206,0.549,0.222,0.639,327900,1295,0.901,0.841,0.389,0.087,60375232,40895,0.095,566.56,0.794,0.273,0.137,1,364,16.6,51521,2.4,85301,34.15555556
New Mexico,2096829,0.23,0.175,0.026,0.018,0.491,0.371,0.096,0.676,166800,828,0.838,0.723,0.271,0.114,11236630,26085,0.195,98,0.857,0.284,0.175,1,74,26.1,9075,1.8,1845,20.3037037
New York,19453561,0.208,0.164,0.176,0.09,0.192,0.554,0.226,0.539,302200,1240,0.882,0.809,0.359,0.063,155666053,37470,0.136,1467.85,0.817,0.257,0.141,1,619,18.2,113026,2.7,247815,40.53333333
North Carolina,10488084,0.222,0.163,0.222,0.032,0.096,0.628,0.079,0.65,165900,877,0.874,0.783,0.305,0.127,55227505,29456,0.14,512.58,0.853,0.321,0.172,0,429,23.9,55394,2.1,6601,19.45185185
North Dakota,762062,0.235,0.153,0.034,0.018,0.039,0.84,0.039,0.627,185000,806,0.885,0.79,0.295,0.084,5418355,35373,0.107,54.28,0.861,0.332,0.183,0,80,24.1,3765,4.3,585,19.46666667
Ohio,11689100,0.222,0.171,0.13,0.025,0.039,0.787,0.045,0.66,140000,788,0.874,0.797,0.278,0.077,80915693,30304,0.139,619.21,0.805,0.338,0.211,0,963,25.4,65645,2.8,11602,12.98518519
Oklahoma,3956971,0.243,0.157,0.078,0.023,0.109,0.653,0.06,0.656,130900,793,0.867,0.758,0.252,0.167,22795438,27432,0.156,202.34,0.776,0.365,0.201,0,298,29,20167,2.8,2567,13.38518519
Oregon,4217737,0.208,0.176,0.022,0.048,0.133,0.753,0.099,0.619,287300,1050,0.918,0.839,0.329,0.084,24956816,32045,0.126,224.17,0.78,0.294,0.161,1,133,22.9,20596,1.6,1910,22.25185185
Pennsylvania,12801989,0.207,0.182,0.12,0.037,0.076,0.761,0.068,0.69,174100,915,0.865,0.792,0.308,0.067,96329248,32889,0.122,733.61,0.825,0.316,0.187,0,696,20.2,80089,2.9,32902,29.80740741
Rhode Island,1059361,0.194,0.172,0.084,0.036,0.159,0.72,0.136,0.603,249800,981,0.876,0.818,0.333,0.048,8223005,34619,0.129,55.43,0.875,0.3,0.149,1,81,17.2,5972,2.1,4706,22.99259259
South Carolina,5148714,0.218,0.177,0.271,0.018,0.058,0.637,0.049,0.689,154800,868,0.862,0.753,0.274,0.127,22941292,27986,0.153,215.21,0.794,0.341,0.188,0,189,24.8,27313,2.4,4377,19.9037037
South Dakota,884659,0.247,0.166,0.024,0.017,0.041,0.814,0.035,0.681,159100,722,0.868,0.78,0.285,0.116,6211731,29801,0.131,47.11,0.798,0.319,0.193,0,107,23.3,4612,4.8,1635,10.1037037
Tennessee,6829174,0.222,0.164,0.171,0.019,0.056,0.737,0.05,0.663,158600,841,0.852,0.754,0.266,0.12,42383683,28511,0.153,333.31,0.867,0.328,0.226,0,317,24.5,36598,2.9,7070,17.17777778
Texas,28995881,0.258,0.126,0.128,0.052,0.396,0.415,0.17,0.619,161700,998,0.892,0.793,0.293,0.2,145035130,30143,0.149,1812.11,0.799,0.33,0.157,0,1225,21.1,109083,2.3,19260,29.07407407
Utah,3205958,0.295,0.111,0.014,0.027,0.142,0.78,0.084,0.699,256700,988,0.944,0.857,0.333,0.105,14521857,28239,0.09,166.82,0.795,0.253,0.089,0,101,23.5,10494,1.8,3069,16.87407407
Vermont,623989,0.185,0.194,0.014,0.02,0.02,0.925,0.046,0.707,223700,972,0.889,0.802,0.373,0.049,4457996,33238,0.11,30.7,0.835,0.276,0.158,1,36,18.2,3681,2.1,813,33.38518519
Virginia,8535519,0.22,0.154,0.199,0.069,0.096,0.615,0.123,0.662,264900,1202,0.899,0.82,0.382,0.102,47705003,37763,0.107,489.37,0.921,0.301,0.164,1,286,22.9,40322,2.1,8542,22.19259259
Washington,7614893,0.221,0.154,0.043,0.093,0.129,0.68,0.14,0.627,311700,1194,0.927,0.865,0.353,0.075,43966889,36888,0.103,537.64,0.789,0.277,0.135,1,212,20.4,37378,1.7,12255,25.8962963
West Virginia,1792147,0.202,0.199,0.036,0.008,0.017,0.921,0.016,0.729,115000,711,0.818,0.729,0.203,0.079,12259395,25479,0.178,72.26,0.818,0.381,0.26,0,124,36.2,11698,3.8,890,18.5037037
Wisconsin,5822434,0.22,0.17,0.067,0.03,0.069,0.811,0.05,0.669,173600,837,0.88,0.804,0.295,0.065,40680625,32018,0.11,307.88,0.807,0.32,0.16,0,364,20.2,32688,2.1,4346,18.13333333
Wyoming,578759,0.233,0.165,0.013,0.011,0.101,0.838,0.035,0.694,213300,843,0.908,0.811,0.269,0.125,3291478,32295,0.111,39.47,0.769,0.288,0.187,0,38,21.4,2775,3.5,313,13.35555556
