,states,"Population estimates, July 1, 2019,  (V2019)","Population estimates, July 1, 2018,  (V2018)","Population estimates base, April 1, 2010,  (V2019)","Population estimates base, April 1, 2010,  (V2018)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2018,  (V2018)","Population, Census, April 1, 2010","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent","American Indian and Alaska Native alone, percent","Asian alone, percent","Native Hawaiian and Other Pacific Islander alone, percent","Two or More Races, percent","Hispanic or Latino, percent","White alone, not Hispanic or Latino, percent","Veterans, 2014-2018","Foreign born persons, percent, 2014-2018","Housing units,  July 1, 2018,  (V2018)","Owner-occupied housing unit rate, 2014-2018","Median value of owner-occupied housing units, 2014-2018","Median selected monthly owner costs -with a mortgage, 2014-2018","Median selected monthly owner costs -without a mortgage, 2014-2018","Median gross rent, 2014-2018","Building permits, 2018","Households, 2014-2018","Persons per household, 2014-2018","Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018","Language other than English spoken at home, percent of persons age 5 years+, 2014-2018","Households with a computer, percent, 2014-2018","Households with a broadband Internet subscription, percent, 2014-2018","High school graduate or higher, percent of persons age 25 years+, 2014-2018","Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018","With a disability, under age 65 years, percent, 2014-2018","Persons  without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2014-2018","In civilian labor force, female, percent of population age 16 years+, 2014-2018","Total accommodation and food services sales, 2012 ($1,000)","Total health care and social assistance receipts/revenue, 2012 ($1,000)","Total manufacturers shipments, 2012 ($1,000)","Total merchant wholesaler sales, 2012 ($1,000)","Total retail sales, 2012 ($1,000)","Total retail sales per capita, 2012","Mean travel time to work (minutes), workers age 16 years+, 2014-2018","Median household income (in 2018 dollars), 2014-2018","Per capita income in past 12 months (in 2018 dollars), 2014-2018","Persons in poverty, percent","Total employer establishments, 2017","Total employment, 2017","Total annual payroll, 2017 ($1,000)","Total employment, percent change, 2016-2017","Total nonemployer establishments, 2017","All firms, 2012","Men-owned firms, 2012","Women-owned firms, 2012","Minority-owned firms, 2012","Nonminority-owned firms, 2012","Veteran-owned firms, 2012","Nonveteran-owned firms, 2012","Population per square mile, 2010","Land area in square miles, 2010",National Stay At Home Order,State Stay At Home Order,First COVID-19 Case Date,FIPS Code,Mobility Score,Real GDP in billion chained (2012) U.S. dollars,State Tax Rate,Rank,Avg. Local Tax Rate,Combined Rate,Rank.1,Max Local Tax Rate,Vaccination Rate,2020 Pop.,Obesity Rank,Obesity Rate,Number of Smoking Adults,"Number of filings per 100,000 inhabitants",Party Affiliation,Number of Nursing Homes,Total Deficiencies,Total Serious Deficiencies,Serious Deficiencies Per Home,Sum of Fines,Number of Fines,Average Fine,Number of Payment Suspensions,Diabetes Rate 2018,Diabetes Death 2018,New Cancer Rate,Case Count,Hospital_bed_per_1000,cumulative_cases
33,North Carolina,10488084,10383620,9535751,9535736,0.1,0.089,9535483,0.059,0.222,0.163,0.514,0.706,0.222,0.016,0.032,0.001,0.023,0.096,0.628,667696,0.079,4684876,0.65,165900,1290,394,877,71691,3918597,2.52,0.848,0.116,0.874,0.783,0.874,0.305,0.095,0.127,0.613,0.572,18622258,55227505,202344646,105275586,120691007,12376,24.5,52413,29456,0.14,233363,3774377,175695531,-0.005,760638,805985,435677,287058,183380,603182,86571,684743,196.1,48617.91,1.58432E+18,1.58553E+18,1.58319E+18,"""37""",-19.45185185,512.58,0.055,29,0.0143,0.0693,28,0.025,0.853,10611862,20,0.321,0.172,92.23,0,429,7394,340,0.79,14785130,328,45076,50,23.9,3013,458.4,55394,2.1,6601
2,Arizona,7278717,7171646,6392288,6392288,0.139,0.122,6392017,0.061,0.229,0.175,0.503,0.828,0.051,0.053,0.037,0.003,0.029,0.316,0.544,487684,0.134,3035669,0.636,209600,1394,406,1009,41664,2524300,2.69,0.822,0.272,0.899,0.818,0.868,0.289,0.086,0.127,0.592,0.545,13996635,37055881,51243473,69437272,84716542,12927,25.3,56213,29265,0.14,143306,2448538,113490959,0.029,485984,499926,245243,182425,135313,344981,46780,427582,56.3,113594.08,1.58432E+18,1.58561E+18,1.58E+18,"""04""",-25.77037037,324.92,0.056,28,0.028,0.084,11,0.056,0.81,7378494,30,0.295,0.156,230.38,0,147,2300,12,0.08,331148,18,18397,4,22.4,2046,376.3,31443,1.9,4933
35,Ohio,11689100,11689442,11536751,11536757,0.013,0.013,11536504,0.059,0.222,0.171,0.51,0.819,0.13,0.003,0.025,0.001,0.023,0.039,0.787,729649,0.045,5217423,0.66,140000,1269,471,788,24221,4654075,2.43,0.852,0.07,0.874,0.797,0.901,0.278,0.101,0.077,0.631,0.588,20652777,80915693,313629976,155426023,153553997,13301,23.5,54533,30304,0.139,253001,4815946,224627609,0.005,785833,904814,510078,306824,122653,759569,91316,776193,282.3,40860.69,1.58432E+18,1.58484E+18,1.5838E+18,"""39""",-12.98518519,619.21,0.0575,27,0.0142,0.0717,21,0.0225,0.805,11747694,11,0.338,0.211,234.13,0,963,20581,236,0.25,9169061,398,23037,68,25.4,3845,456.1,65645,2.8,11602
32,New York,19453561,19542209,19378144,19378124,0.004,0.008,19378102,0.058,0.208,0.164,0.514,0.697,0.176,0.01,0.09,0.001,0.026,0.192,0.554,730557,0.226,8363934,0.539,302200,2114,755,1240,37778,7316537,2.6,0.895,0.305,0.882,0.809,0.865,0.359,0.076,0.063,0.63,0.585,49285508,155666053,148879931,341734970,251167736,12834,33.3,65323,37470,0.136,547034,8261269,547344236,0.01,1751378,2008988,1139910,725709,709021,1248304,137532,1811544,411.2,47126.4,1.58432E+18,1.58484E+18,1.58311E+18,"""36""",-40.53333333,1467.85,0.04,40,0.0452,0.0852,10,0.04875,0.817,19440469,45,0.257,0.141,125.11,1,619,9713,77,0.12,2454533,104,23601,8,18.2,4519,474.8,113026,2.7,247815
9,Florida,21477737,21299325,18804564,18804580,0.142,0.133,18801310,0.054,0.199,0.205,0.511,0.773,0.169,0.005,0.03,0.001,0.022,0.261,0.535,1452967,0.205,9547305,0.65,196800,1466,492,1128,144427,7621760,2.65,0.843,0.291,0.898,0.808,0.88,0.292,0.086,0.16,0.583,0.541,49817925,124061425,96924106,252626608,273867145,14177,27.4,53267,30197,0.136,557308,8385577,378219262,0.026,2245127,2100187,1084885,807817,926112,1121749,185756,1846686,350.6,53624.76,1.58432E+18,1.58587E+18,1.58311E+18,"""12""",-35.77037037,959.43,0.06,17,0.0105,0.0705,23,0.025,0.852,21992985,35,0.284,0.161,209.12,0,695,13019,208,0.3,12392371,273,45393,43,19.8,6204,419.3,119408,2.6,26314
25,Missouri,6137428,6126452,5988950,5988952,0.025,0.023,5988927,0.061,0.225,0.169,0.509,0.83,0.118,0.006,0.021,0.002,0.023,0.043,0.793,413189,0.041,2806371,0.668,151600,1254,438,809,16875,2396271,2.47,0.845,0.061,0.873,0.776,0.896,0.286,0.104,0.112,0.626,0.587,12430310,40089316,111535362,91916351,90546581,15036,23.6,53560,29537,0.132,150882,2517204,116773811,0.009,418097,491606,257948,162616,61035,415972,49217,415542,87.1,68741.52,1.58432E+18,1.58613E+18,1.58363E+18,"""29""",-15.00740741,293.15,0.04225,39,0.0396,0.0818,14,0.05625,0.755,6169270,17,0.325,0.208,122.28,0,526,11569,75,0.14,4490237,151,29736,93,20.8,1606,446.3,33171,3.1,5743
14,Indiana,6732219,6691878,6484051,6484061,0.038,0.032,6483802,0.063,0.234,0.158,0.507,0.851,0.098,0.004,0.025,0.001,0.021,0.071,0.789,390220,0.052,2903554,0.689,135400,1130,401,807,21480,2553818,2.53,0.851,0.086,0.872,0.776,0.886,0.259,0.098,0.097,0.638,0.591,13076602,42493117,242763842,81173422,85857962,13133,23.6,54325,28461,0.131,148377,2779124,122892875,0.022,415261,479059,253533,162798,61252,405090,45174,412543,181,35826.11,1.58432E+18,1.58501E+18,1.58345E+18,"""18""",-14.51111111,333.89,0.07,2,0,0.07,24,0,0.786,6745354,12,0.336,0.218,341.32,0,545,13338,127,0.23,5186230,307,16893,21,26,2093,443,34260,2.7,11211
41,South Dakota,884659,882235,814198,814198,0.087,0.084,814180,0.07,0.247,0.166,0.495,0.844,0.024,0.09,0.017,0.001,0.024,0.041,0.814,59243,0.035,397526,0.681,159100,1298,471,722,4963,341565,2.43,0.84,0.065,0.868,0.78,0.917,0.285,0.081,0.116,0.681,0.642,1873699,6211731,16882647,20411059,13791827,16550,17,56499,29801,0.131,27099,359643,14719422,0.005,66713,81314,42418,23722,4101,74228,8604,66219,10.7,75811,1.58432E+18,-9.22337E+18,1.58388E+18,"""46""",-10.1037037,47.11,0.045,36,0.019,0.064,32,0.045,0.798,903027,22,0.319,0.193,115.99,0,107,1541,39,0.36,1599005,40,39975,2,23.3,252,449.5,4612,4.8,1635
26,Montana,1068778,1062305,989407,989409,0.08,0.074,989415,0.059,0.216,0.187,0.497,0.89,0.006,0.066,0.009,0.001,0.028,0.04,0.859,85480,0.022,515175,0.677,219600,1386,421,783,5099,423240,2.39,0.842,0.041,0.873,0.781,0.932,0.312,0.092,0.1,0.631,0.594,2420455,6469475,11535236,12645824,15623573,15544,18,52559,29765,0.13,38192,376565,14773193,-0.005,91520,112419,55913,35449,5578,102746,11486,93393,6.8,145545.8,1.58432E+18,1.58535E+18,1.58406E+18,"""30""",-18.23703704,47.58,0,46,0,0,47,0,0.787,1086759,46,0.253,0.172,207.44,0,73,1926,46,0.63,3635549,64,56805,16,19.1,267,456.6,6194,3.3,433
28,Nevada,3080156,3034392,2700677,2700679,0.141,0.124,2700551,0.061,0.227,0.157,0.499,0.743,0.101,0.017,0.087,0.008,0.045,0.29,0.487,208731,0.194,1268633,0.558,242400,1469,419,1060,17645,1075930,2.68,0.816,0.304,0.912,0.813,0.863,0.242,0.089,0.13,0.634,0.587,27481505,13928514,14719141,19841701,38234170,13858,24.3,57598,29961,0.129,66430,1191625,50960493,0.023,233007,227156,114057,82508,71864,144944,23049,191293,24.6,109781.18,1.58432E+18,1.5857E+18,1.58337E+18,"""32""",-37.67407407,155.53,0.05,33,0.0186,0.0686,29,0.035,0.804,3139658,43,0.267,0.176,129.97,1,62,1930,3,0.05,71303,4,17825,2,19.2,674,385,13054,2.1,3728
39,Rhode Island,1059361,1057315,1052964,1052957,0.006,0.004,1052567,0.051,0.194,0.172,0.514,0.839,0.084,0.011,0.036,0.002,0.028,0.159,0.72,57524,0.136,469157,0.603,249800,1838,724,981,1294,410885,2.47,0.872,0.221,0.876,0.818,0.88,0.333,0.098,0.048,0.644,0.606,2481314,8223005,11262158,22310389,12063865,11486,24.8,63296,34619,0.129,28783,435978,20945444,0.002,80905,94642,54651,30484,14737,77042,9904,79837,1018.1,1033.81,1.58432E+18,1.58535E+18,1.58302E+18,"""44""",-22.99259259,55.43,0.07,2,0,0.07,24,0,0.875,1056161,29,0.3,0.149,129.68,1,81,569,14,0.17,608635,20,30431,1,17.2,249,450.6,5972,2.1,4706
4,California,39512223,39557045,37254519,37254523,0.061,0.062,37253956,0.062,0.227,0.143,0.503,0.721,0.065,0.016,0.153,0.005,0.039,0.393,0.368,1618861,0.269,14277157,0.546,475900,2282,569,1429,113502,12965435,2.96,0.867,0.441,0.917,0.847,0.829,0.333,0.068,0.083,0.631,0.572,90830372,248953592,512303164,666652186,481800461,12665,29.3,71228,35021,0.128,941377,14896625,955043843,0.02,3374050,3548449,1852580,1320085,1619857,1819107,252377,3176341,239.1,155779.22,1.58432E+18,1.58458E+18,1.58E+18,"""06""",-37.36296296,2813.7,0.0725,1,0.0141,0.0866,9,0.025,0.809,39937489,48,0.251,0.113,168.2,1,1195,44814,225,0.19,8434200,334,25252,123,21.4,9506,385.6,164887,1.8,31431
37,Oregon,4217737,4190713,3831079,3831075,0.101,0.094,3831074,0.056,0.208,0.176,0.504,0.868,0.022,0.018,0.048,0.005,0.039,0.133,0.753,288540,0.099,1788681,0.619,287300,1647,519,1050,20132,1591835,2.51,0.823,0.154,0.918,0.839,0.904,0.329,0.101,0.084,0.621,0.577,8466788,24956816,51349948,48325261,49481054,12690,23.7,59393,32045,0.126,117357,1596637,79111280,0.029,295127,339305,165691,123015,41456,285028,30918,288790,39.9,95988.01,1.58432E+18,1.58492E+18,1.58293E+18,"""41""",-22.25185185,224.17,0,46,0,0,47,0,0.78,4301089,31,0.294,0.161,160.84,1,133,4149,75,0.56,2220374,109,20370,4,22.9,1224,405.3,20596,1.6,1910
7,Delaware,973764,967171,897937,897934,0.084,0.077,897934,0.057,0.211,0.187,0.516,0.695,0.23,0.007,0.041,0.001,0.027,0.095,0.619,66590,0.092,438693,0.711,244700,1563,465,1110,6003,357765,2.58,0.873,0.13,0.899,0.824,0.898,0.314,0.085,0.068,0.623,0.588,2148437,7003251,22597384,5628914,14456001,15763,25.8,65627,33989,0.125,25452,400714,21975836,0.002,65634,73418,38328,23964,14440,54782,7206,60318,460.8,1948.54,1.58432E+18,1.58501E+18,1.58388E+18,"""10""",-25.21481481,63.62,0,46,0,0,47,0,0.872,982895,23,0.318,0.17,230.47,1,46,1591,10,0.22,1247176,19,65640,7,18.8,238,487.2,6001,2.2,2538
38,Pennsylvania,12801989,12807060,12702868,12702873,0.008,0.008,12702379,0.055,0.207,0.182,0.51,0.818,0.12,0.004,0.037,0.001,0.021,0.076,0.761,782682,0.068,5713150,0.69,174100,1474,531,915,23325,5025132,2.46,0.877,0.113,0.865,0.792,0.902,0.308,0.098,0.067,0.626,0.583,23504192,96329248,231396178,191170147,178794945,14008,26.9,59445,32889,0.122,302772,5433660,270592656,0.015,849036,975453,579400,304803,131512,818858,97969,837792,283.9,44742.7,1.58432E+18,1.5857E+18,1.58345E+18,"""42""",-29.80740741,733.61,0.06,17,0.0034,0.0634,34,0.02,0.825,12820878,24,0.316,0.187,187.17,0,696,18404,79,0.11,11462556,226,50719,72,20.2,3603,482.5,80089,2.9,32902
13,Illinois,12671821,12741080,12831572,12831572,-0.012,-0.007,12830632,0.06,0.224,0.156,0.509,0.769,0.146,0.006,0.059,0.001,0.02,0.174,0.61,595185,0.14,5376064,0.66,187200,1668,626,984,21510,4830038,2.59,0.871,0.23,0.883,0.806,0.889,0.341,0.071,0.081,0.651,0.603,27937381,83431778,281037755,295456992,166634514,12942,29,63575,34463,0.121,321135,5497629,301443641,-0.003,985260,1135017,609648,417500,311684,795129,89110,1006885,231.1,55518.93,1.58432E+18,1.58475E+18,1.57982E+18,"""17""",-30.37037037,786.7,0.0625,13,0.0283,0.0908,6,0.1,0.83,12659682,27,0.311,0.155,371.04,1,728,21061,99,0.14,6977508,354,19710,66,18.6,2878,462.8,68954,2.5,30357
16,Kansas,2913314,2911505,2853123,2853126,0.021,0.02,2853118,0.065,0.242,0.159,0.502,0.864,0.061,0.012,0.031,0.001,0.03,0.121,0.757,181453,0.071,1280774,0.663,145400,1349,495,831,9478,1124549,2.52,0.836,0.117,0.884,0.796,0.907,0.329,0.09,0.103,0.657,0.612,4873411,18248370,86076260,60226324,38276461,13263,19.3,57422,30757,0.12,74947,1199162,52754605,0.012,201268,239118,125169,77194,26127,204562,21610,203401,34.9,81758.72,1.58432E+18,1.58553E+18,1.58363E+18,"""20""",-7.62962963,157.2,0.065,9,0.0218,0.0868,8,0.04,0.785,2910357,18,0.324,0.174,228.47,0,335,9089,287,0.86,7893002,303,26049,85,22.6,803,457.3,15312,3.3,1905
12,Idaho,1787065,1754208,1567657,1567657,0.14,0.119,1567582,0.066,0.255,0.159,0.499,0.93,0.009,0.017,0.016,0.002,0.025,0.127,0.817,115045,0.06,735672,0.693,192300,1228,368,825,15824,618331,2.68,0.826,0.108,0.902,0.797,0.906,0.269,0.093,0.132,0.621,0.565,2680225,7895614,20201432,17906012,20444278,12812,20.7,53089,26772,0.118,47574,578134,23564597,0.028,130699,146642,70438,45121,10592,130973,12804,124314,19,82643.12,1.58432E+18,1.58509E+18,1.58406E+18,"""16""",-8.851851852,73.16,0.06,17,0.0003,0.0603,37,0.03,0.812,1826156,32,0.293,0.143,208.41,0,81,2305,38,0.47,3183922,49,64978,6,20.3,408,439.2,8354,1.9,1668
19,Maine,1344212,1338404,1328358,1328369,0.012,0.008,1328361,0.048,0.187,0.206,0.51,0.946,0.016,0.007,0.012,Z,0.018,0.017,0.931,107091,0.036,746596,0.722,184500,1381,493,831,4697,556955,2.33,0.865,0.063,0.884,0.8,0.923,0.309,0.118,0.1,0.629,0.595,2901347,10297043,16044543,12961262,21521714,16192,24,55425,31253,0.116,41622,513745,22349651,0.004,116299,139570,79243,42067,4339,131322,15689,115839,43.1,30842.92,1.58432E+18,1.58579E+18,1.58397E+18,"""23""",-25.47407407,58.91,0.055,29,0,0.055,42,0,0.883,1345790,33,0.291,0.173,96.46,1,94,1194,7,0.07,238315,20,11915,2,23.4,478,473.4,8901,2.5,867
15,Iowa,3155070,3156145,3046871,3046872,0.036,0.036,3046355,0.063,0.232,0.171,0.502,0.907,0.04,0.005,0.027,0.001,0.019,0.062,0.853,188867,0.052,1409650,0.711,142300,1234,472,766,11518,1256855,2.41,0.848,0.08,0.876,0.788,0.92,0.282,0.078,0.056,0.674,0.631,5468687,18583828,116668830,62318301,44905624,14607,19.1,58580,31085,0.112,82685,1353681,58926050,-0.001,211320,259121,135382,82345,14707,236561,25889,217779,54.5,55857.13,1.58432E+18,-9.22337E+18,1.58371E+18,"""19""",-7.688888889,174.48,0.06,17,0.0094,0.0694,27,0.01,0.835,3179849,4,0.364,0.171,146.25,0,439,6553,136,0.31,7100552,282,25179,43,21.9,898,473.6,18146,3,2902
50,Wyoming,578759,577737,563775,563773,0.027,0.025,563626,0.062,0.233,0.165,0.49,0.926,0.013,0.027,0.011,0.001,0.022,0.101,0.838,45389,0.035,278595,0.694,213300,1428,415,843,1812,230630,2.46,0.831,0.073,0.908,0.811,0.929,0.269,0.089,0.125,0.664,0.612,1644844,3291478,10783794,5597891,9446043,16388,17.8,62268,32295,0.111,21148,201864,9436110,-0.032,51309,62427,30039,19344,4077,55397,6470,51353,5.8,97093.14,1.58432E+18,-9.22337E+18,1.58397E+18,"""56""",-13.35555556,39.47,0.04,40,0.0134,0.0534,44,0.02,0.769,567025,34,0.288,0.187,,0,38,1095,2,0.05,658939,18,36607,5,21.4,145,402.3,2775,3.5,313
49,Wisconsin,5822434,5813568,5687285,5687282,0.024,0.022,5686986,0.058,0.22,0.17,0.502,0.871,0.067,0.012,0.03,0.001,0.02,0.069,0.811,342796,0.05,2710723,0.669,173600,1418,550,837,19113,2343129,2.4,0.858,0.087,0.88,0.804,0.919,0.295,0.082,0.065,0.666,0.63,10303256,40680625,177728926,77066883,78201822,13656,22,59209,32018,0.11,142136,2561381,121061234,0.015,350624,432980,236252,133859,40507,379934,39830,370755,105,54157.8,1.58432E+18,1.58509E+18,1.5838E+18,"""55""",-18.13333333,307.88,0.05,33,0.0046,0.0546,43,0.0175,0.807,5851754,21,0.32,0.16,145.57,0,364,7410,176,0.48,7016989,203,34566,21,20.2,1508,458.6,32688,2.1,4346
27,Nebraska,1934408,1929268,1826305,1826305,0.059,0.056,1826341,0.069,0.247,0.157,0.501,0.883,0.051,0.015,0.027,0.001,0.023,0.112,0.786,120290,0.07,845042,0.661,147800,1352,510,805,7866,754063,2.46,0.838,0.112,0.885,0.81,0.911,0.313,0.077,0.097,0.695,0.649,3094498,12869418,57499177,42618995,30470717,16422,18.6,59116,31101,0.11,54954,833472,36415429,-0.058,137380,164089,83696,51936,14571,144122,16693,137254,23.8,76824.17,1.58432E+18,-9.22337E+18,1.58345E+18,"""31""",-8.903703704,115.91,0.0475,35,0.0222,0.0697,26,0.0275,0.857,1952570,15,0.328,0.154,317.39,0,211,4537,15,0.07,2148940,57,37700,69,26,596,446.4,9838,3.6,1474
45,Vermont,623989,626299,625737,625744,-0.003,0.001,625741,0.047,0.185,0.194,0.506,0.942,0.014,0.004,0.02,Z,0.02,0.02,0.925,38625,0.046,337110,0.707,223700,1594,667,972,2080,259589,2.31,0.867,0.057,0.889,0.802,0.926,0.373,0.105,0.049,0.657,0.63,1564272,4457996,9315494,6450076,9933751,15868,22.9,60076,33238,0.11,21158,258876,11052209,-0.015,61505,75827,41270,23417,2354,70491,8237,63317,67.9,9216.66,1.58432E+18,1.58509E+18,1.58363E+18,"""50""",-33.38518519,30.7,0.053,31,0.0035,0.0565,41,0.007,0.835,628061,40,0.276,0.158,268.45,1,36,687,16,0.44,429138,22,19506,0,18.2,156,442.4,3681,2.1,813
1,Alaska,731545,737438,710249,710249,0.03,0.038,710231,0.072,0.249,0.118,0.479,0.653,0.038,0.154,0.066,0.014,0.074,0.072,0.603,67452,0.078,318336,0.64,265200,1907,573,1231,1677,253462,2.81,0.817,0.162,0.933,0.843,0.927,0.292,0.088,0.143,0.664,0.639,2221335,6375483,D,5216303,10474275,14320,18.8,76715,35874,0.109,21279,262075,15007844,-0.015,56796,68032,35402,22141,13688,51147,7953,56091,1.2,570640.95,1.58432E+18,1.58535E+18,1.58406E+18,"""02""",-20.58518519,54.79,0,46,0.0176,0.0176,46,0.075,0.742,734002,9,0.342,0.21,52.34,0,18,619,4,0.22,268343,14,19167,0,17.7,122,405.8,2882,2.2,319
46,Virginia,8535519,8517685,8001049,8001055,0.067,0.065,8001024,0.06,0.22,0.154,0.508,0.695,0.199,0.005,0.069,0.001,0.031,0.096,0.615,684480,0.123,3538847,0.662,264900,1767,470,1202,31977,3128415,2.61,0.845,0.161,0.899,0.82,0.893,0.382,0.08,0.102,0.642,0.604,17795901,47705003,96389872,86613641,110002385,13438,28.4,71564,37763,0.107,201893,3310542,177105769,0.017,617046,653193,353012,236290,185043,450109,76434,548439,202.6,39490.09,1.58432E+18,1.58553E+18,1.58363E+18,"""51""",-22.19259259,489.37,0.06,17,0.0022,0.0622,36,0.01,0.921,8626207,28,0.301,0.164,281.73,1,286,8431,30,0.1,5753096,83,69314,9,22.9,2286,413.3,40322,2.1,8542
34,North Dakota,762062,760077,672576,672576,0.133,0.13,672591,0.072,0.235,0.153,0.488,0.87,0.034,0.055,0.018,0.001,0.022,0.039,0.84,46524,0.039,377649,0.627,185000,1389,455,806,3211,314903,2.31,0.821,0.061,0.885,0.79,0.925,0.295,0.071,0.084,0.692,0.648,2045123,5418355,14427360,28150837,15519816,22183,17.1,63473,35373,0.107,24596,340521,16337205,-0.019,55317,68270,37016,20316,3190,62271,6584,56904,9.7,69000.8,1.58432E+18,-9.22337E+18,1.58397E+18,"""38""",-19.46666667,54.28,0.0685,7,0.0147,0.0832,12,0.0165,0.861,761723,13,0.332,0.183,315.82,0,80,1535,4,0.05,306737,10,30673,0,24.1,214,448.7,3765,4.3,585
6,Connecticut,3565287,3572665,3574147,3574147,-0.002,Z,3574097,0.051,0.206,0.172,0.512,0.8,0.12,0.006,0.049,0.001,0.024,0.165,0.665,173998,0.143,1521117,0.663,272700,2096,877,1156,4815,1367374,2.54,0.879,0.222,0.896,0.838,0.905,0.389,0.073,0.062,0.662,0.622,9542068,29573119,55160095,161962244,51632467,14381,26.3,76106,43056,0.104,89574,1536858,95781512,0.002,281453,326693,187845,106678,56113,259614,31056,281182,738.1,4842.36,1.58432E+18,1.58492E+18,1.5838E+18,"""09""",-25.56296296,250.05,0.0635,12,0,0.0635,33,0,0.855,3563077,42,0.269,0.127,168.61,1,217,4724,32,0.15,2319262,218,10638,9,14.6,708,465.5,21117,2,17962
47,Washington,7614893,7535591,6724540,6724540,0.132,0.121,6724540,0.061,0.221,0.154,0.5,0.789,0.043,0.019,0.093,0.008,0.048,0.129,0.68,537713,0.14,3148129,0.627,311700,1826,564,1194,47746,2800423,2.55,0.822,0.194,0.927,0.865,0.911,0.353,0.088,0.075,0.635,0.584,14297278,43966889,131530601,83313366,118924049,17243,27.6,70116,36888,0.103,191045,2768660,169766372,0.031,478331,541522,262650,187677,92807,426697,49331,461401,101.2,66455.52,1.58432E+18,1.58492E+18,1.57965E+18,"""53""",-25.8962963,537.64,0.06,17,0.0041,0.0641,31,0.01,0.789,7797095,39,0.277,0.135,153.56,1,212,9843,160,0.75,10372648,354,29301,3,20.4,1779,445.1,37378,1.7,12255
